Model,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2,Block Size
Gaussian Process,0.3737381795559154,0.5299102972218661,0.33485280873495427,1.3880790377364207,4.546123234936208,0.0847685113428921,0.5
Random Forest,0.3839338963492425,0.5337434108453009,0.32519530253988915,1.3977750116421355,4.520145120688103,0.09519852164270892,0.5
Linear Regression,0.41585524838810517,0.5915874670116965,0.17100679006054897,1.4711581828284224,4.671556032580303,0.03356718083820098,0.5
Gaussian Process,0.34713869443992923,0.5000975192204429,0.2748387696538348,1.0466064982585717,3.023226135109985,0.1472059494510719,1.0
Random Forest,0.3513567217853975,0.5166021251925936,0.2261842702059511,1.0733579386396064,3.0863158682494904,0.11124176299328703,1.0
Linear Regression,0.41328107813645865,0.5758759494184521,0.03842523093792094,1.1754994691615992,3.2101816911143164,0.03847158675451223,1.0
Gaussian Process,0.43662345404464564,0.6435487447243059,0.2907912363568006,2.6667808350962448,18.42064679395126,0.010901946216095526,1.5
Random Forest,0.4549573836604624,0.646852295943759,0.2834913357367713,2.7100635854250994,18.42683031638704,0.010237785330072247,1.5
Linear Regression,0.5171766576695638,0.7750546615490654,-0.028669501322762247,2.8510811820877677,18.657753066599568,-0.014724809191139832,1.5
Linear Regression,0.6112622509648152,0.9762583564187349,-0.24565111672864393,3.75983935123112,20.79774914876609,-0.029154183983457482,2.0
Gaussian Process,0.6532820332272895,0.9848118508941571,-0.26757429998811455,3.8303730743474023,20.802072800476065,-0.02958213094453499,2.0
Random Forest,0.6541392318146324,0.9865485359740441,-0.27204889765408513,3.827322842001742,20.801142706743992,-0.029490064496374258,2.0
